Al,As,Ba,bc,Br,Ca,Cl,Cr,Cu,Fe,K,Mn,Ni,Pb,S,Se,Si,Ti,V,Zn
0.0279,2e-4,0.0185,0.54078403,0,0.0218,-1,0,0.0056,0.0299,0.0157,0,3e-4,0.003,0.3306,0,0.0496,0.0014,0.0021,0.006
-1,0,-1,0.41215556,4e-4,0.0248,4e-4,2e-4,0.0052,0.0787,0.0247,0,5e-4,0.0037,0.3611,0,0.0629,0.0032,0.0019,0.0035
0.0334,0.0027,0.0025,0.54951562,4e-4,0.0239,0.0013,4e-4,0.0024,0.0482,0.0127,0,0.0023,0.0047,0.7614,0,0.0316,0.0022,0.0023,0.0098
0.0234,0,0.0036,0.45183854,3e-4,0.011,7e-4,9e-4,-1,0.0278,0.0076,-1,7e-4,0,0.2324,0,0.0198,5e-4,4e-4,0.0033
0.0468,0.0014,0.0193,0.65650069,0,0.0562,0.004,2e-4,-1,0.1088,0.0234,0.0019,0.0056,0.0075,0.5183,0,0.0632,0.0053,0.0085,0.0212
0.0543,5e-4,0.027,1.40192708,-1,-1,0.0024,4e-4,0.0067,0.0591,0.0181,0,0.0086,-1,0.6059,0,0.0704,0.0017,0.0039,0.027
0.0376,7e-4,0.0055,0.52233542,-1,0.0485,0.07,4e-4,0.003,0.0431,-1,0,0.0052,0.0032,0.6723,7e-4,-1,0.0012,0.0026,0.0185
0.0658,9e-4,0.004,0.47699028,0,0.0702,0.0033,0,0.0058,0.0879,0.0499,0.0013,0.0097,0.0071,1.0929,0,0.139,-1,0.0088,-1
-1,0.0011,0.0017,0.95936069,0.0014,0.0459,0.0023,0,0.0068,0.0982,0.0448,0.0027,0.0015,0.0092,0.8359,0,0.1144,0.0046,0.0038,0.0168
0.1153,0,0,1.01130208,5e-4,0.0579,0.0027,2e-4,0.0052,0.1204,0.0504,7e-4,0.0049,0.0092,0.9595,0,0.1719,0.0066,0.0047,-1
0.1154,0.001,0,0.64905486,7e-4,0.0589,0.0046,1e-4,5e-4,0.1003,0.0516,0,0.0018,0.0033,0.8681,0,0.2079,0.0076,0.0031,0.0094
0.0495,8e-4,0.0051,0.78929861,0,0.0404,0.0031,0,0.0064,0.068,0.0312,0,-1,0.0091,0.5914,0,0.0916,0.003,0.0025,0.0097
-1,0.0016,0.0033,0.82240625,0.0014,0.0363,0.0022,5e-4,0.0011,0.057,0.0245,0,0.0046,0.0026,0.49370000000000003,0,0.0665,0.0031,0.0029,0.0098
